frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
87,1,1.271,1.073,55.772,55.236,55.236,-76.725,-20.952999999999996
88,1,1.22,0.97,55.347,53.435,53.435,-77.071,-21.723999999999997
89,1,1.07,1.024,57.765,49.812,49.812,-73.57,-15.804999999999993
90,1,1.271,1.032,56.7,47.644,47.644,-70.003,-13.302999999999997
91,1,1.208,1.409,30.853,63.029,63.029,-41.544,-10.690999999999995
92,1,1.22,1.147,33.664,69.074,69.074,-44.883,-11.219000000000001
93,1,1.161,0.997,37.14,62.269,62.269,-45.391,-8.250999999999998
94,1,1.036,1.232,33.077,63.237,63.237,-43.824,-10.747
95,1,1.414,1.222,36.294,57.501,57.501,-48.978,-12.684000000000005
96,1,1.272,0.986,43.104,60.087,60.087,-52.26,-9.155999999999999
97,1,0.801,0.755,32.148,58.411,58.411,-41.669,-9.520999999999994
98,1,1.102,1.147,30.048,55.993,55.993,-44.395,-14.347000000000005
99,1,0.84,0.961,29.386,49.034,49.034,-44.728,-15.342000000000002
100,1,1.011,1.198,27.403,50.183,50.183,-45.597,-18.194000000000003
101,1,1.081,0.937,60.807,61.351,61.351,-76.848,-16.040999999999997
102,1,1.082,1.082,68.221,56.905,56.905,-81.104,-12.882999999999996
103,1,1.093,0.968,70.115,56.236,56.236,-81.272,-11.15700000000001
104,1,1.177,0.967,67.242,49.406,49.406,-81.958,-14.715999999999994
105,1,0.855,1.079,60.918,51.36,51.36,-76.314,-15.395999999999994
106,1,1.01,1.131,65.777,53.614,53.614,-82.063,-16.286
107,1,0.955,1.199,54.833,52.674,52.674,-78.141,-23.308000000000007
108,1,1.032,1.15,54.329,49.467,49.467,-79.395,-25.065999999999995
109,1,0.984,1.32,52.889,46.987,46.987,-76.487,-23.597999999999992
110,1,0.929,1.346,55.765,44.303,44.303,-75.359,-19.593999999999994
111,1,0.855,1.078,55.033,51.008,51.008,-80.747,-25.714
112,1,0.981,1.248,55.146,50.351,50.351,-79.382,-24.236000000000004
113,1,0.994,0.946,62.551,50.585,50.585,-89.981,-27.429999999999993
114,1,0.947,0.967,66.41,50.18,50.18,-91.838,-25.427999999999997
115,1,1.266,1.174,57.892,51.776,51.776,-84.215,-26.323
116,1,1.038,1.213,53.752,56.499,56.499,-79.166,-25.413999999999994
117,1,1.073,1.172,62.157,53.479,53.479,-82.115,-19.958
118,1,1.063,0.995,60.498,53.487,53.487,-80.657,-20.159
119,1,1.259,1.03,52.407,52.808,52.808,-78.249,-25.842
120,1,1.253,1.253,52.57,53.255,53.255,-71.543,-18.973000000000006
121,1,1.039,1.024,25.752,56.041,56.041,-49.796,-24.044
122,1,1.143,1.27,18.904,59.684,59.684,-37.17,-18.266000000000002
123,1,1.093,1.301,19.659,54.878,54.878,-42.137,-22.478
124,1,1.247,1.233,27.004,54.838,54.838,-46.85,-19.846
