frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
94,1,2.26,1.085,51.235,72.61,72.61,-16.302,34.933
95,1,1.958,0.873,56.499,72.594,72.594,-14.271,42.228
96,1,2.282,0.985,61.925,74.69,74.69,-21.898,40.027
97,1,2.103,0.83,57.952,73.376,73.376,-29.321,28.630999999999997
98,1,1.794,0.901,57.663,70.56,70.56,-28.969,28.693999999999996
99,1,2.089,0.95,51.711,72.954,72.954,-23.626,28.084999999999997
100,1,2.322,0.807,53.4,75.565,75.565,-26.371,27.029
101,1,1.959,0.781,48.696,75.044,75.044,-17.934,30.761999999999997
102,1,1.879,0.788,51.277,77.188,77.188,-20.627,30.650000000000002
103,1,1.67,1.036,53.876,74.738,74.738,-18.612,35.263999999999996
104,1,1.731,1.124,49.605,71.564,71.564,-16.221,33.384
105,1,1.749,1.065,56.435,72.016,72.016,-12.339,44.096000000000004
106,1,1.981,0.753,59.241,71.407,71.407,-10.823,48.418
107,1,1.876,0.99,66.534,71.893,71.893,-16.591,49.943000000000005
108,1,1.636,1.049,64.272,70.12,70.12,-15.136,49.13600000000001
109,1,1.737,0.95,64.667,73.72,73.72,-13.008,51.659000000000006
110,1,1.742,0.864,59.492,72.033,72.033,-11.57,47.922
111,1,1.935,0.913,57.011,69.392,69.392,-8.997,48.014
112,1,1.965,0.749,47.425,70.456,70.456,-7.918,39.507
113,1,1.765,0.991,49.304,72.546,72.546,-7.485,41.819
114,1,1.77,1.135,48.868,77.443,77.443,-1.568,47.300000000000004
115,1,1.595,1.073,42.827,72.425,72.425,0.724,43.550999999999995
116,1,1.632,0.833,45.56,72.884,72.884,5.405,50.965
117,1,1.833,0.74,45.677,77.925,77.925,10.31,55.987
118,1,1.828,0.676,39.07,81.74,81.74,1.3,40.37
119,1,1.771,1.037,46.668,80.888,80.888,2.017,48.685
120,1,1.837,0.951,40.422,82.382,82.382,5.309,45.730999999999995
121,1,2.103,1.143,51.994,86.732,86.732,0.842,52.836
122,1,2.182,0.93,53.096,77.536,77.536,-2.208,50.888
123,1,1.925,1.095,49.909,78.171,78.171,3.089,52.998
124,1,1.618,1.122,51.525,73.893,73.893,6.025,57.55
125,1,1.759,1.131,54.915,74.46,74.46,0.747,55.662
126,1,1.823,0.997,55.7,77.991,77.991,-4.044,51.656000000000006
127,1,2.088,1.038,53.663,80.199,80.199,-2.973,50.69
128,1,2.102,1.17,49.619,80.234,80.234,-4.663,44.956
129,1,2.098,0.826,42.577,77.196,77.196,-1.788,40.789
130,1,2.061,1.091,39.041,80.555,80.555,-2.966,36.074999999999996
131,1,1.916,1.158,38.756,78.717,78.717,1.42,40.176
132,1,1.977,0.962,39.88,77.644,77.644,5.321,45.201
133,1,2.068,0.981,43.235,78.887,78.887,2.612,45.847
134,1,1.953,1.299,46.128,75.31,75.31,-0.67,45.458
135,1,2.147,1.219,52.823,77.068,77.068,-3.177,49.646
136,1,1.992,1.313,49.492,78.227,78.227,-4.307,45.184999999999995
137,1,1.801,1.156,49.445,71.822,71.822,-5.615,43.83
138,1,1.964,1.327,57.457,70.787,70.787,-10.045,47.412
139,1,1.871,1.399,54.676,73.69,73.69,-3.281,51.395
140,1,1.878,1.265,57.323,74.295,74.295,-2.365,54.958
141,1,1.76,1.158,61.779,65.091,65.091,-10.097,51.682
142,1,1.843,1.011,62.576,67.227,67.227,-12.941,49.635
143,1,1.721,1.269,72.467,62.824,62.824,-19.418,53.049
144,1,1.923,0.844,64.374,66.655,66.655,-15.9,48.474
145,1,1.625,1.332,55.464,66.646,66.646,-13.659,41.805
146,1,1.963,1.006,50.773,70.103,70.103,-13.642,37.131
147,1,1.902,0.925,50.356,72.258,72.258,-8.174,42.182
148,1,1.966,0.844,57.397,68.247,68.247,-16.052,41.345
149,1,1.906,0.973,51.689,66.986,66.986,-9.023,42.666
150,1,1.68,0.777,53.848,69.668,69.668,-4.501,49.347
151,1,1.872,0.878,55.466,69.535,69.535,-6.21,49.256
152,1,1.811,0.895,54.076,72.063,72.063,-7.971,46.105000000000004
153,1,1.844,1.187,56.708,76.056,76.056,-5.285,51.423
154,1,2.168,0.929,50.939,70.381,70.381,-0.581,50.358
155,1,2.164,0.648,52.347,69.026,69.026,-2.761,49.586
156,1,2.263,0.739,49.608,72.579,72.579,-1.335,48.272999999999996
157,1,2.091,1.072,47.808,75.104,75.104,5.303,53.111
158,1,1.982,0.894,46.966,75.646,75.646,12.058,59.024
159,1,1.95,0.848,50.018,72.248,72.248,3.384,53.402
160,1,1.829,0.849,47.741,71.215,71.215,6.029,53.769999999999996
161,1,2.009,1.06,51.323,69.855,69.855,6.562,57.885
162,1,2.006,1.174,49.584,73.015,73.015,7.158,56.742000000000004
163,1,1.944,1.061,48.005,65.132,65.132,5.572,53.577000000000005
164,1,1.894,0.785,51.704,60.937,60.937,5.851,57.555
165,1,1.944,0.779,56.695,58.99,58.99,4.428,61.123
166,1,1.87,0.985,58.533,63.608,63.608,4.892,63.425000000000004
167,1,1.94,1.082,56.327,67.768,67.768,6.152,62.479
168,1,1.881,0.929,59.032,65.87,65.87,0.366,59.397999999999996
169,1,1.869,0.963,55.47,62.121,62.121,1.603,57.073
170,1,1.806,0.872,52.483,61.371,61.371,-1.664,50.818999999999996
171,1,1.711,0.852,51.28,61.445,61.445,-2.003,49.277
172,1,1.835,0.925,49.45,69.453,69.453,0.151,49.601000000000006
173,1,1.777,0.747,45.833,64.972,64.972,2.68,48.513
174,1,1.797,0.873,50.214,59.177,59.177,-6.143,44.071
175,1,1.512,0.74,50.466,76.205,76.205,-3.085,47.381
176,1,1.817,0.858,50.131,71.131,71.131,-4.257,45.874
177,1,1.713,0.692,49.48,68.759,68.759,-9.785,39.69499999999999
178,1,1.487,0.879,50.924,67.808,67.808,-9.543,41.381
179,1,1.536,0.89,56.596,69.459,69.459,-10.035,46.56099999999999
180,1,1.921,0.79,54.848,67.231,67.231,-14.936,39.912
181,1,1.765,0.879,54.365,64.373,64.373,-12.18,42.185
182,1,1.971,0.712,51.076,68.176,68.176,-9.574,41.502
183,1,1.942,0.645,43.237,70.128,70.128,5.172,48.409
184,1,1.917,0.601,48.474,69.448,69.448,-3.084,45.38999999999999
185,1,1.894,0.583,42.684,71.318,71.318,-1.3,41.384
186,1,1.953,0.919,30.37,73.153,73.153,2.907,33.277
187,1,2.152,0.631,36.645,70.121,70.121,-1.19,35.455000000000005
188,1,1.938,0.707,45.71,72.603,72.603,1.376,47.086
189,1,2.013,0.878,39.072,70.6,70.6,2.855,41.927
190,1,1.985,0.659,33.168,74.627,74.627,8.579,41.747
191,1,1.875,0.568,31.68,69.633,69.633,3.757,35.437
192,1,2.218,0.772,32.876,69.76,69.76,2.846,35.721999999999994
193,1,1.818,0.812,37.238,66.084,66.084,-1.208,36.03
194,1,1.865,0.705,34.281,67.752,67.752,1.874,36.155
195,1,2.137,0.778,39.714,67.561,67.561,-4.207,35.507
196,1,1.931,0.701,33.157,62.645,62.645,-3.829,29.327999999999996
197,1,1.854,0.757,32.508,69.24,69.24,-3.376,29.132
198,1,1.966,0.671,32.08,66.029,66.029,-6.017,26.063
199,1,1.985,0.736,40.127,70.691,70.691,-3.257,36.870000000000005
200,1,2.063,0.705,40.962,69.691,69.691,-2.643,38.319
201,1,1.931,0.938,43.344,75.189,75.189,-0.209,43.135
202,1,2.026,0.775,43.51,81.297,81.297,6.251,49.760999999999996
203,1,1.991,0.57,39.062,72.781,72.781,-1.694,37.367999999999995
204,1,1.955,0.805,33.514,79.789,79.789,6.656,40.17
205,1,2.155,0.876,30.046,75.922,75.922,2.395,32.441
206,1,1.857,0.947,26.428,85.197,85.197,12.39,38.818
207,1,1.854,0.797,33.005,82.783,82.783,10.837,43.842
208,1,1.893,0.772,34.251,79.642,79.642,11.031,45.282
209,1,1.841,0.723,31.449,72.98,72.98,15.325,46.774
