frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
90,1,1.373,0.79,19.033,64.693,64.693,-16.612,2.421000000000003
91,1,1.389,0.839,70.388,55.257,55.257,-42.378,28.010000000000005
92,1,1.594,1.084,23.15,62.056,62.056,-14.086,9.063999999999998
93,1,1.458,0.777,73.727,58.577,58.577,-48.967,24.760000000000005
94,1,1.676,0.509,24.71,53.028,53.028,-13.802,10.908000000000001
95,1,1.667,0.848,27.141,61.84,61.84,-14.058,13.082999999999998
96,1,1.611,0.929,30.138,64.443,64.443,-14.943,15.195000000000002
97,1,1.094,0.866,12.067,58.664,58.664,-44.598,-32.531
98,1,1.288,0.996,38.384,65.351,65.351,-13.323,25.061
99,1,1.146,1.003,38.021,73.394,73.394,-10.013,28.008000000000003
100,1,1.119,0.761,37.91,68.605,68.605,-13.0,24.909999999999997
101,1,2.389,0.816,29.082,77.849,77.849,31.337,60.419
102,1,1.838,0.828,34.595,51.967,51.967,-23.93,10.665
103,1,2.039,0.959,48.019,72.692,72.692,-8.42,39.599
104,1,2.023,0.786,48.827,65.457,65.457,-14.483,34.343999999999994
105,1,2.341,0.767,34.033,82.478,82.478,32.555,66.588
106,1,2.113,0.878,56.374,58.559,58.559,-12.417,43.957
107,1,1.714,0.679,54.235,59.678,59.678,-10.93,43.305
108,1,2.064,0.853,57.996,63.569,63.569,-16.433,41.563
109,1,2.31,1.04,28.851,81.303,81.303,44.907,73.758
110,1,1.814,0.774,27.935,61.567,61.567,-10.828,17.107
111,1,1.317,0.738,29.773,60.954,60.954,-8.619,21.154
112,1,1.762,1.014,63.527,59.572,59.572,-13.276,50.251000000000005
113,1,1.632,1.036,63.651,62.322,62.322,-16.064,47.587
114,1,1.826,1.009,65.546,58.158,58.158,-18.795,46.751000000000005
115,1,1.609,1.045,58.988,56.48,56.48,-13.391,45.597
116,1,2.501,0.744,33.061,71.112,71.112,48.481,81.542
117,1,1.623,0.557,25.847,63.958,63.958,-22.82,3.027000000000001
118,1,2.299,0.788,39.693,73.139,73.139,49.388,89.08099999999999
119,1,2.398,0.791,43.692,77.288,77.288,46.703,90.39500000000001
120,1,2.244,0.665,64.112,56.99,56.99,-25.684,38.428
121,1,1.346,1.048,42.111,52.558,52.558,-37.115,4.995999999999995
122,1,1.677,1.034,26.234,59.024,59.024,40.253,66.487
123,1,1.799,1.134,24.011,62.55,62.55,47.522,71.533
124,1,1.37,0.857,27.505,68.468,68.468,44.495,72.0
125,1,2.483,0.787,44.177,67.623,67.623,32.797,76.97399999999999
126,1,2.571,0.825,48.339,68.576,68.576,35.514,83.85300000000001
127,1,1.806,0.801,48.544,59.007,59.007,12.084,60.628
128,1,2.249,0.89,53.646,58.527,58.527,13.137,66.783
129,1,2.334,0.808,28.433,65.431,65.431,5.863,34.296
130,1,2.423,0.873,29.729,67.794,67.794,-1.882,27.846999999999998
131,1,2.64,1.265,45.807,65.184,65.184,36.649,82.456
132,1,2.178,0.837,64.722,49.573,49.573,-36.477,28.244999999999997
133,1,2.319,0.995,28.874,63.864,63.864,-3.143,25.730999999999998
134,1,1.729,1.031,39.146,63.874,63.874,-21.202,17.944
