frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
87,1,0.589,0.625,-1.55,17.776,17.776,-22.747,-24.297
88,1,0.625,0.756,-47.174,12.942,12.942,26.437,-20.737
89,1,0.352,0.646,-28.124,7.427,7.427,10.898,-17.226
90,1,0.728,0.822,-23.518,13.952,13.952,3.585,-19.933
91,1,0.499,0.794,-43.692,44.69,44.69,31.733,-11.959
92,1,0.349,0.554,-18.732,17.276,17.276,5.78,-12.951999999999998
93,1,0.521,0.543,-0.31,25.13,25.13,-28.957,-29.267
94,1,0.886,0.867,-20.542,34.475,34.475,-9.488,-30.03
95,1,0.502,0.633,-44.633,17.206,17.206,18.653,-25.980000000000004
96,1,0.687,0.69,-42.91,45.748,45.748,17.013,-25.896999999999995
97,1,0.72,0.629,-51.949,21.709,21.709,25.251,-26.697999999999997
98,1,0.75,0.67,-38.978,25.449,25.449,16.612,-22.366000000000003
99,1,0.485,0.592,-38.648,29.655,29.655,11.391,-27.257000000000005
100,1,0.681,0.762,-40.184,19.897,19.897,23.77,-16.413999999999998
101,1,1.033,0.603,-57.013,23.914,23.914,35.471,-21.542
102,1,0.93,0.689,-41.656,31.057,31.057,25.352,-16.304
103,1,0.583,0.357,-41.533,25.519,25.519,12.161,-29.372
104,1,0.78,0.445,-62.353,29.729,29.729,47.562,-14.791000000000004
105,1,0.717,0.618,-46.413,7.722,7.722,45.679,-0.7339999999999947
106,1,0.536,0.667,-43.007,32.252,32.252,32.401,-10.605999999999995
107,1,0.806,0.871,-43.523,16.239,16.239,25.95,-17.573000000000004
108,1,1.124,0.783,-42.253,59.731,59.731,37.001,-5.2520000000000024
109,1,0.529,0.687,-11.145,30.077,30.077,-9.111,-20.256
110,1,0.34,0.623,-29.75,14.907,14.907,15.934,-13.816
111,1,0.525,0.608,-50.99,22.712,22.712,28.506,-22.484
112,1,0.897,0.878,-31.956,20.748,20.748,18.445,-13.511
113,1,0.6,0.543,-39.511,26.825,26.825,18.621,-20.890000000000004
114,1,0.649,0.792,-25.471,25.713,25.713,4.151,-21.32
115,1,0.447,0.632,-12.287,14.28,14.28,-5.533,-17.82
116,1,0.505,0.654,-21.215,16.966,16.966,2.88,-18.335
117,1,0.692,0.576,-57.009,4.742,4.742,21.955,-35.054
118,1,0.619,0.685,-47.332,15.414,15.414,34.575,-12.756999999999998
119,1,0.623,0.889,-33.085,24.46,24.46,18.593,-14.492
120,1,0.534,0.418,-39.014,19.722,19.722,18.804,-20.210000000000004
121,1,0.71,0.676,-36.417,28.339,28.339,12.796,-23.621000000000002
122,1,0.932,0.753,-51.563,56.227,56.227,7.966,-43.597
123,1,0.68,0.611,-58.828,12.788,12.788,32.765,-26.063000000000002
124,1,0.719,0.741,-35.822,24.585,24.585,15.974,-19.848000000000003
125,1,0.537,0.644,-31.877,21.949,21.949,22.878,-8.998999999999999
126,1,0.624,0.831,-22.982,28.157,28.157,10.892,-12.09
127,1,0.408,0.5,-42.918,20.01,20.01,23.321,-19.596999999999998
128,1,0.382,0.581,16.245,9.4,9.4,-33.695,-17.45
129,1,0.631,0.846,-48.036,28.537,28.537,40.0,-8.036000000000001
130,1,0.593,0.532,-30.543,12.829,12.829,15.053,-15.489999999999998
131,1,0.751,0.801,-31.571,31.701,31.701,16.825,-14.746000000000002
132,1,0.673,0.697,-46.878,24.363,24.363,33.062,-13.816000000000003
133,1,0.758,0.949,-52.59,28.457,28.457,42.376,-10.214000000000006
134,1,0.577,0.77,-44.409,39.978,39.978,23.442,-20.967
135,1,0.478,0.489,-26.209,31.937,31.937,10.642,-15.567
136,1,0.613,0.422,-46.581,21.686,21.686,31.79,-14.791000000000004
137,1,0.618,0.755,-35.784,21.22,21.22,11.868,-23.915999999999997
138,1,0.469,0.489,-20.907,19.203,19.203,-6.475,-27.381999999999998
139,1,0.33,0.633,-38.868,37.533,37.533,18.665,-20.203000000000003
140,1,0.801,0.482,-52.972,43.267,43.267,28.347,-24.625
141,1,0.578,0.625,-47.823,21.268,21.268,20.672,-27.151
142,1,0.707,0.575,-47.407,36.186,36.186,22.788,-24.618999999999996
143,1,0.381,0.697,-14.3,22.219,22.219,-1.169,-15.469000000000001
144,1,0.827,0.766,-39.382,50.999,50.999,30.905,-8.476999999999997
145,1,0.892,0.845,-48.483,26.641,26.641,17.944,-30.538999999999998
146,1,0.435,0.511,-41.008,40.79,40.79,33.009,-7.999000000000002
147,1,0.49,0.801,-32.99,41.423,41.423,14.393,-18.597
148,1,0.671,0.804,-51.353,27.449,27.449,24.449,-26.904
149,1,0.625,0.579,-42.147,7.854,7.854,28.268,-13.878999999999998
150,1,0.435,0.64,-28.019,13.496,13.496,-0.056,-28.075
151,1,0.519,0.71,-44.11,43.587,43.587,28.415,-15.695
152,1,0.72,0.826,-34.621,25.971,25.971,20.354,-14.267000000000003
153,1,0.597,0.799,-15.01,9.983,9.983,-6.157,-21.167
154,1,0.667,0.714,-45.795,42.229,42.229,17.55,-28.245
155,1,0.582,0.723,-28.631,35.518,35.518,9.222,-19.409
156,1,0.726,1.001,-25.989,34.018,34.018,3.816,-22.173000000000002
157,1,0.759,0.462,-43.873,30.427,30.427,24.151,-19.721999999999998
158,1,0.726,0.774,-60.144,35.682,35.682,47.196,-12.948
159,1,0.554,0.718,-41.386,31.565,31.565,40.122,-1.264000000000003
160,1,0.425,0.42,-40.695,29.5,29.5,15.762,-24.933
161,1,0.599,0.668,-60.162,32.699,32.699,47.827,-12.335
162,1,0.459,0.837,-39.12,22.552,22.552,22.781,-16.339
163,1,0.646,0.572,-57.965,31.005,31.005,35.299,-22.666000000000004
164,1,0.512,0.756,-55.453,28.244,28.244,24.431,-31.022000000000002
