frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
90,1,0.997,1.47,-0.049,72.28,72.28,-23.38,-23.429
91,1,1.284,1.267,-7.273,62.94,62.94,-24.278,-31.551
92,1,1.018,1.283,4.351,62.985,62.985,-33.807,-29.456000000000003
93,1,1.018,1.432,1.744,61.77,61.77,-31.355,-29.611
94,1,1.006,1.617,0.318,68.066,68.066,-29.425,-29.107
95,1,1.013,1.799,-1.399,65.348,65.348,-30.533,-31.932000000000002
96,1,1.12,1.33,2.836,72.059,72.059,-31.005,-28.169
97,1,1.039,1.622,1.83,68.084,68.084,-26.523,-24.692999999999998
98,1,1.154,1.322,-2.402,71.228,71.228,-25.002,-27.404
99,1,1.225,1.482,4.303,64.76,64.76,-27.515,-23.212
100,1,1.135,1.451,5.499,68.47,68.47,-31.887,-26.388
101,1,1.157,1.522,7.136,66.398,66.398,-34.142,-27.006000000000004
102,1,1.051,1.679,5.162,68.407,68.407,-36.072,-30.910000000000004
103,1,1.193,1.47,9.138,70.034,70.034,-31.47,-22.332
104,1,1.168,1.309,-0.63,63.701,63.701,-25.167,-25.797
105,1,1.146,1.202,2.556,73.051,73.051,-31.58,-29.023999999999997
106,1,0.987,1.278,3.874,70.444,70.444,-37.26,-33.385999999999996
107,1,1.01,1.256,1.96,66.797,66.797,-34.13,-32.17
108,1,1.205,1.58,3.367,64.437,64.437,-38.562,-35.195
109,1,1.356,1.399,4.217,56.466,56.466,-35.566,-31.349000000000004
110,1,1.284,1.252,4.724,52.398,52.398,-37.965,-33.241
111,1,1.352,1.669,4.37,59.876,59.876,-35.956,-31.586000000000002
112,1,1.257,1.491,5.017,61.672,61.672,-36.772,-31.755
113,1,1.131,1.493,6.2,53.4,53.4,-38.723,-32.522999999999996
114,1,1.28,1.345,13.332,66.007,66.007,-48.352,-35.019999999999996
115,1,1.25,1.171,8.057,60.543,60.543,-44.497,-36.44
116,1,1.166,1.536,7.46,68.377,68.377,-43.301,-35.841
117,1,1.276,1.253,13.479,70.287,70.287,-44.492,-31.012999999999998
118,1,1.272,1.347,14.826,70.332,70.332,-44.314,-29.488
119,1,1.246,1.133,9.23,64.845,64.845,-42.371,-33.141000000000005
120,1,1.239,1.23,9.093,67.155,67.155,-45.354,-36.260999999999996
121,1,1.481,1.348,12.087,65.911,65.911,-49.404,-37.31700000000001
122,1,1.265,0.963,5.072,59.415,59.415,-38.166,-33.093999999999994
123,1,1.202,1.288,1.687,68.521,68.521,-41.269,-39.582
124,1,0.978,1.091,4.932,70.134,70.134,-39.749,-34.817
125,1,0.971,1.255,0.872,70.685,70.685,-41.276,-40.404
126,1,1.159,1.145,2.655,66.596,66.596,-39.865,-37.21
127,1,1.256,1.359,4.01,73.774,73.774,-44.785,-40.775
128,1,1.177,1.16,-7.646,72.646,72.646,-38.083,-45.729
129,1,1.126,1.386,-7.863,72.155,72.155,-36.627,-44.49
130,1,1.437,1.293,-4.145,69.118,69.118,-45.968,-50.113
131,1,1.394,1.278,0.173,64.542,64.542,-47.492,-47.318999999999996
132,1,1.359,1.368,8.567,66.635,66.635,-45.506,-36.939
133,1,1.288,0.995,7.414,70.521,70.521,-43.25,-35.836
134,1,1.398,1.158,-4.671,62.761,62.761,-37.993,-42.664
135,1,1.461,1.059,0.168,74.103,74.103,-39.497,-39.329
136,1,1.453,1.148,-4.755,73.249,73.249,-42.618,-47.373000000000005
137,1,1.255,1.09,-3.141,71.597,71.597,-39.874,-43.015
138,1,1.441,1.251,-5.83,64.76,64.76,-39.67,-45.5
139,1,1.358,1.304,-6.957,74.189,74.189,-37.308,-44.265
140,1,1.487,1.378,1.358,71.719,71.719,-40.89,-39.532000000000004
141,1,1.404,1.34,-1.997,75.493,75.493,-40.089,-42.086
142,1,1.442,0.949,4.207,62.246,62.246,-43.711,-39.504
143,1,1.471,0.872,-2.834,61.196,61.196,-41.525,-44.359
144,1,1.298,0.918,-4.546,66.698,66.698,-37.051,-41.597
145,1,1.261,1.107,-0.835,63.275,63.275,-41.767,-42.602000000000004
146,1,1.256,1.046,3.679,60.897,60.897,-47.992,-44.312999999999995
147,1,1.377,0.883,6.07,66.442,66.442,-40.498,-34.428
148,1,1.219,1.043,-2.336,58.761,58.761,-41.644,-43.98
149,1,1.369,1.051,-5.427,63.03,63.03,-37.004,-42.431
150,1,1.348,0.859,-3.076,49.344,49.344,-39.046,-42.122
151,1,1.472,0.86,2.206,55.131,55.131,-45.036,-42.83
152,1,1.678,0.949,9.903,58.667,58.667,-49.088,-39.185
153,1,1.45,0.607,13.4,60.505,60.505,-42.274,-28.874000000000002
154,1,1.333,0.701,16.354,65.917,65.917,-49.462,-33.108000000000004
155,1,1.296,0.662,19.6,66.65,66.65,-57.299,-37.699
156,1,1.354,0.623,18.798,67.921,67.921,-52.184,-33.385999999999996
157,1,1.552,0.509,13.093,67.269,67.269,-52.854,-39.760999999999996
158,1,1.331,0.561,8.542,64.55,64.55,-46.59,-38.048
159,1,1.616,0.686,4.439,64.722,64.722,-43.146,-38.707
160,1,1.43,0.789,2.394,64.012,64.012,-40.889,-38.495000000000005
161,1,1.308,0.835,2.015,65.417,65.417,-43.494,-41.479
162,1,1.514,0.901,7.126,65.456,65.456,-47.207,-40.081
163,1,1.422,0.695,6.651,65.537,65.537,-45.416,-38.765
164,1,1.591,0.721,-1.733,59.339,59.339,-40.365,-42.098
165,1,1.62,0.973,4.553,59.897,59.897,-44.823,-40.27
166,1,1.714,0.75,-2.555,58.472,58.472,-37.733,-40.288
167,1,1.601,0.709,-4.944,58.664,58.664,-36.943,-41.887
168,1,1.563,0.856,-0.848,59.172,59.172,-37.527,-38.375
169,1,1.669,0.816,0.741,44.686,44.686,-47.836,-47.095
170,1,1.658,0.742,2.871,53.903,53.903,-44.389,-41.518
171,1,1.695,0.496,2.034,52.755,52.755,-45.401,-43.367000000000004
172,1,1.462,1.064,-1.422,57.726,57.726,-45.444,-46.866
173,1,1.603,0.874,-5.718,58.554,58.554,-35.175,-40.893
174,1,1.82,0.766,-3.02,57.493,57.493,-32.874,-35.894000000000005
175,1,1.677,0.66,-9.31,55.198,55.198,-31.966,-41.276
176,1,1.803,0.832,-10.989,57.344,57.344,-29.151,-40.14
177,1,1.78,0.795,-10.07,52.23,52.23,-28.237,-38.307
178,1,1.687,0.981,-10.639,65.054,65.054,-31.694,-42.333
179,1,1.318,0.968,-15.84,59.439,59.439,-26.993,-42.833
180,1,1.77,0.808,-5.937,57.875,57.875,-27.625,-33.562
181,1,1.566,0.838,-6.694,53.755,53.755,-29.13,-35.824
182,1,1.77,0.958,-6.808,49.47,49.47,-33.034,-39.842
183,1,1.197,1.01,-6.378,60.848,60.848,-35.667,-42.045
184,1,1.311,1.027,-6.402,60.452,60.452,-32.884,-39.286
185,1,1.46,0.787,3.176,55.185,55.185,-36.946,-33.769999999999996
186,1,1.462,0.822,3.26,59.305,59.305,-38.113,-34.853
187,1,1.56,1.082,5.165,56.302,56.302,-39.7,-34.535000000000004
188,1,1.233,0.911,9.559,52.29,52.29,-40.671,-31.112000000000002
189,1,1.216,0.965,11.698,58.483,58.483,-40.69,-28.991999999999997
190,1,1.283,0.925,12.007,56.609,56.609,-41.2,-29.193000000000005
191,1,1.279,0.874,12.554,50.764,50.764,-44.262,-31.708
192,1,1.503,1.072,14.315,56.755,56.755,-43.582,-29.267000000000003
193,1,1.329,1.081,17.619,60.037,60.037,-43.484,-25.865000000000002
194,1,1.141,0.784,17.515,51.998,51.998,-50.122,-32.607
195,1,1.41,0.887,14.667,58.771,58.771,-50.191,-35.524
196,1,1.331,0.996,17.511,55.599,55.599,-51.874,-34.363
197,1,1.304,0.96,19.132,57.617,57.617,-49.525,-30.392999999999997
198,1,1.374,1.144,9.701,54.536,54.536,-46.781,-37.08
199,1,1.469,1.112,10.018,51.062,51.062,-48.36,-38.342
200,1,1.371,1.031,16.763,55.564,55.564,-55.683,-38.92
201,1,1.362,1.046,6.671,57.643,57.643,-44.76,-38.089
202,1,1.341,1.134,6.849,54.463,54.463,-44.595,-37.745999999999995
203,1,1.091,1.07,6.397,50.476,50.476,-49.955,-43.558
204,1,1.283,0.927,1.731,59.241,59.241,-48.305,-46.574
205,1,1.239,1.115,4.779,56.429,56.429,-43.046,-38.266999999999996
206,1,1.176,1.106,9.106,58.807,58.807,-49.138,-40.032
207,1,1.211,0.82,13.496,57.063,57.063,-45.419,-31.922999999999995
208,1,1.7,0.911,6.318,61.249,61.249,-44.538,-38.22
209,1,1.411,1.248,9.818,65.32,65.32,-51.168,-41.35
210,1,1.351,0.87,9.113,58.447,58.447,-54.188,-45.075
211,1,1.496,1.215,9.833,59.303,59.303,-50.104,-40.271
212,1,1.255,1.131,14.925,60.831,60.831,-51.071,-36.146
213,1,1.446,1.214,9.147,57.003,57.003,-48.816,-39.669000000000004
214,1,1.463,1.169,8.936,58.357,58.357,-45.367,-36.431
215,1,1.341,0.926,14.312,60.325,60.325,-51.489,-37.177
216,1,1.368,0.905,21.388,61.169,61.169,-48.08,-26.691999999999997
217,1,1.434,1.049,19.756,62.462,62.462,-52.498,-32.742
218,1,1.092,0.996,26.007,59.81,59.81,-56.504,-30.496999999999996
219,1,1.276,1.459,29.22,56.576,56.576,-60.756,-31.536
220,1,1.226,1.43,34.345,55.296,55.296,-58.918,-24.573
221,1,1.273,1.513,31.761,65.11,65.11,-58.206,-26.445000000000004
222,1,1.209,1.233,30.923,62.687,62.687,-58.256,-27.333000000000002
223,1,1.426,1.116,34.364,65.122,65.122,-56.259,-21.895000000000003
224,1,1.423,1.09,32.307,65.606,65.606,-52.641,-20.333999999999996
225,1,1.565,1.253,23.158,63.443,63.443,-55.283,-32.125
226,1,1.4,1.522,26.273,59.562,59.562,-49.111,-22.837999999999997
227,1,1.501,1.573,24.228,57.926,57.926,-50.909,-26.680999999999997
228,1,1.506,1.394,18.853,64.922,64.922,-51.919,-33.065999999999995
229,1,1.519,1.25,23.473,63.357,63.357,-52.603,-29.130000000000003
230,1,1.577,1.327,23.723,62.769,62.769,-52.95,-29.227000000000004
231,1,1.235,1.325,20.206,64.423,64.423,-50.498,-30.291999999999998
232,1,1.635,1.291,28.537,57.959,57.959,-64.477,-35.940000000000005
233,1,1.315,1.171,24.971,61.794,61.794,-57.742,-32.771
234,1,1.634,1.322,27.929,52.09,52.09,-62.318,-34.388999999999996
235,1,1.477,1.203,26.354,58.177,58.177,-63.845,-37.491
236,1,1.381,1.015,28.264,53.254,53.254,-58.248,-29.983999999999998
237,1,1.601,1.016,25.63,53.029,53.029,-65.873,-40.24300000000001
238,1,1.229,0.97,23.065,55.831,55.831,-61.937,-38.872
239,1,1.281,0.956,25.979,56.379,56.379,-59.365,-33.386
240,1,1.494,0.941,33.173,58.622,58.622,-65.619,-32.446
241,1,1.367,0.728,26.093,49.776,49.776,-63.682,-37.589
242,1,1.354,0.91,12.869,57.938,57.938,-56.227,-43.358
243,1,1.314,0.976,15.568,54.537,54.537,-55.908,-40.34
244,1,1.26,0.897,14.691,49.849,49.849,-54.862,-40.171
245,1,1.375,0.606,16.82,52.778,52.778,-53.49,-36.67
246,1,1.413,0.963,9.265,51.031,51.031,-51.396,-42.131
247,1,1.374,0.821,2.087,52.154,52.154,-43.15,-41.062999999999995
248,1,1.274,1.035,6.124,41.285,41.285,-46.25,-40.126
249,1,1.082,1.143,5.1,51.159,51.159,-45.135,-40.035
250,1,1.014,0.905,-4.57,49.291,49.291,-43.75,-48.32
251,1,1.235,0.952,-2.877,50.974,50.974,-37.258,-40.135000000000005
