frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
90,1,1.076,1.199,43.674,55.107,55.107,-50.706,-7.032000000000004
91,1,1.074,0.86,42.412,53.993,53.993,-49.347,-6.935000000000002
92,1,1.242,0.873,58.931,44.994,44.994,-21.961,36.97
93,1,1.703,1.075,24.009,51.16,51.16,-28.865,-4.855999999999998
94,1,1.702,1.178,15.6,50.663,50.663,-16.474,-0.8740000000000006
95,1,1.388,0.851,21.171,55.388,55.388,-21.378,-0.20700000000000074
96,1,1.727,0.715,24.561,49.321,49.321,-30.106,-5.545000000000002
97,1,1.364,0.717,45.77,53.838,53.838,-64.817,-19.04699999999999
98,1,1.807,0.829,28.947,73.15,73.15,10.281,39.228
99,1,2.026,0.768,35.078,66.954,66.954,8.833,43.911
100,1,2.015,0.674,37.909,66.621,66.621,5.584,43.492999999999995
101,1,2.004,0.824,42.775,64.155,64.155,7.217,49.992
102,1,1.735,1.062,38.417,50.868,50.868,-33.195,5.222000000000001
103,1,1.813,1.091,30.311,51.239,51.239,-31.563,-1.251999999999999
104,1,1.532,0.92,21.678,63.324,63.324,22.334,44.012
105,1,1.283,0.997,23.156,56.72,56.72,-65.2,-42.044000000000004
106,1,1.19,1.091,20.519,58.022,58.022,-64.663,-44.144
107,1,1.311,0.809,36.836,64.059,64.059,-3.666,33.17
108,1,1.357,0.948,18.35,65.639,65.639,-61.726,-43.376
109,1,1.35,0.906,16.871,63.547,63.547,-53.217,-36.346000000000004
110,1,1.447,0.981,13.777,68.076,68.076,-51.732,-37.955
111,1,1.224,0.789,12.024,66.218,66.218,-50.993,-38.969
112,1,1.282,0.917,10.979,66.149,66.149,-51.211,-40.232
113,1,1.198,1.081,9.682,64.426,64.426,-51.354,-41.672
114,1,1.315,0.864,10.213,70.897,70.897,-58.099,-47.885999999999996
115,1,1.365,0.875,13.696,67.139,67.139,-56.1,-42.404
116,1,1.891,0.673,32.292,71.58,71.58,6.085,38.377
117,1,1.881,0.757,27.26,70.809,70.809,2.253,29.513
118,1,1.262,0.905,41.738,57.372,57.372,-26.509,15.229
119,1,1.151,0.693,37.526,59.281,59.281,-20.961,16.565000000000005
120,1,2.036,0.502,15.03,76.276,76.276,-2.403,12.626999999999999
121,1,1.192,0.773,40.397,68.068,68.068,-27.422,12.974999999999998
122,1,1.393,0.707,25.366,75.37,75.37,0.815,26.181
123,1,1.507,1.399,46.235,54.177,54.177,-30.89,15.344999999999999
124,1,1.676,0.872,26.346,77.01,77.01,4.901,31.247
125,1,1.504,1.081,45.887,51.982,51.982,-31.844,14.043
126,1,1.581,0.876,39.258,64.266,64.266,-28.953,10.305000000000003
127,1,1.476,0.953,38.496,62.585,62.585,-26.168,12.328000000000003
128,1,1.768,1.096,52.356,49.4,49.4,-43.72,8.636000000000003
129,1,1.498,0.939,28.757,61.833,61.833,-18.333,10.424000000000003
130,1,1.746,1.128,38.999,50.838,50.838,-39.159,-0.1599999999999966
131,1,1.58,0.923,31.192,59.298,59.298,-24.284,6.908000000000001
132,1,1.368,0.664,39.633,64.654,64.654,-23.567,16.066000000000003
133,1,1.322,0.928,18.407,60.223,60.223,-23.953,-5.545999999999999
134,1,2.143,0.747,43.275,66.353,66.353,-4.247,39.028
135,1,1.123,1.023,27.812,59.947,59.947,-19.59,8.222000000000001
136,1,1.261,0.888,27.486,64.443,64.443,-21.738,5.748000000000001
137,1,1.247,0.9,30.926,59.005,59.005,-27.305,3.6209999999999987
138,1,1.719,0.845,45.433,65.466,65.466,-5.541,39.891999999999996
139,1,2.023,1.092,50.114,65.494,65.494,-2.304,47.809999999999995
140,1,1.53,1.064,23.611,58.913,58.913,-12.46,11.151
141,1,1.492,1.135,26.811,61.216,61.216,-21.831,4.98
142,1,1.735,0.793,22.98,57.062,57.062,-16.142,6.838000000000001
143,1,1.487,0.951,25.498,60.771,60.771,-21.954,3.5440000000000005
144,1,1.512,0.862,48.575,48.081,48.081,-44.038,4.537000000000006
145,1,1.567,1.103,25.862,63.831,63.831,-24.523,1.3389999999999986
146,1,1.659,1.101,51.416,44.007,44.007,-41.258,10.157999999999994
147,1,1.387,1.044,44.154,50.029,50.029,-34.844,9.310000000000002
148,1,1.464,1.186,48.37,45.107,45.107,-36.953,11.416999999999994
149,1,1.593,0.868,51.025,50.8,50.8,-35.048,15.976999999999997
150,1,1.527,0.877,43.806,52.467,52.467,-33.432,10.373999999999995
151,1,1.337,1.035,44.521,53.369,53.369,-36.024,8.497
152,1,1.329,0.979,56.556,47.088,47.088,-40.666,15.89
153,1,1.316,0.712,45.21,54.244,54.244,-35.162,10.048000000000002
154,1,1.033,0.639,39.578,57.207,57.207,-37.986,1.5920000000000059
155,1,1.92,0.666,16.056,82.444,82.444,14.273,30.329
156,1,1.852,0.913,15.971,79.252,79.252,21.385,37.356
157,1,2.158,1.082,15.704,80.835,80.835,20.067,35.771
158,1,2.047,0.939,13.463,82.085,82.085,26.871,40.333999999999996
159,1,1.694,1.067,35.782,57.693,57.693,-35.548,0.23399999999999466
160,1,1.833,1.065,33.518,54.089,54.089,-34.179,-0.6610000000000014
161,1,2.019,1.022,17.495,78.876,78.876,24.554,42.049
162,1,2.206,1.027,12.329,78.073,78.073,30.043,42.372
163,1,1.448,0.952,42.524,57.298,57.298,-42.737,-0.21300000000000097
164,1,2.017,0.841,10.819,80.255,80.255,29.014,39.833
165,1,1.286,1.32,24.284,63.327,63.327,-32.28,-7.996000000000002
166,1,1.571,0.941,53.585,60.791,60.791,-32.871,20.714
167,1,1.532,0.575,34.505,53.02,53.02,-42.027,-7.5219999999999985
168,1,1.301,0.994,25.351,59.047,59.047,-36.093,-10.742000000000004
169,1,1.533,0.921,31.803,53.896,53.896,-40.462,-8.659000000000002
170,1,1.208,0.79,38.09,51.973,51.973,-45.293,-7.202999999999996
171,1,1.264,1.206,18.121,59.181,59.181,-35.109,-16.988000000000003
172,1,1.783,1.358,66.876,61.359,61.359,-30.392,36.48400000000001
173,1,1.403,0.598,37.117,55.249,55.249,-39.719,-2.602000000000004
174,1,1.219,0.682,35.962,52.049,52.049,-34.327,1.6350000000000051
175,1,1.582,1.183,56.686,61.707,61.707,-26.648,30.038
176,1,1.323,0.862,42.489,64.887,64.887,-23.23,19.258999999999997
177,1,1.625,0.796,33.885,59.364,59.364,-25.516,8.369
178,1,2.31,0.741,15.39,75.686,75.686,41.199,56.589
179,1,1.623,1.066,33.468,52.604,52.604,-47.808,-14.339999999999996
180,1,1.327,0.733,28.638,65.818,65.818,-24.818,3.8200000000000003
